,Condition,Alternative_1,Alternative_2,Alternative_3,Alternative_4,Label,Prediction,Case
0,4,6,11,12,27,27,27,3
1,6,16,24,25,28,25,28,0
2,7,3,7,13,29,29,29,1
3,19,11,13,17,23,17,17,0
4,6,10,23,24,25,10,10,0
5,17,1,5,15,29,5,5,0
6,17,1,9,14,21,1,14,0
7,13,2,6,14,18,14,2,0
8,6,7,9,21,27,7,7,0
9,16,10,13,19,22,13,13,0
10,12,1,7,24,29,29,29,0
11,18,0,11,16,17,11,11,0
12,15,8,10,15,31,15,15,0
13,22,1,2,6,7,6,2,1
14,7,10,13,15,24,15,15,0
15,24,3,9,11,30,3,30,0
16,0,2,4,13,14,13,14,0
17,22,9,21,22,31,21,9,0
18,26,7,9,22,29,29,7,0
19,31,2,9,27,29,9,27,0
20,21,15,16,22,28,16,16,0
21,20,1,9,28,29,28,28,0
22,27,0,1,4,21,21,21,0
23,29,17,22,24,30,17,17,0
24,5,6,7,13,18,6,6,0
25,25,19,20,21,24,20,20,3
26,12,8,16,18,30,30,16,0
27,8,7,19,20,26,19,26,0
28,13,6,19,21,26,6,26,1
29,24,11,14,15,30,11,11,0
30,27,0,9,10,13,13,13,0
31,29,15,17,24,31,17,15,0
32,19,4,10,13,22,4,4,1
33,11,1,10,15,26,26,26,1
34,22,0,7,16,22,0,0,0
35,16,5,8,10,24,10,10,0
36,7,14,27,28,31,27,14,0
37,15,9,10,13,16,16,16,1
38,5,15,17,18,31,15,15,0
39,27,1,2,4,14,1,1,0
40,26,0,1,20,27,20,27,0
41,11,0,8,16,20,16,16,0
42,25,1,3,18,27,27,1,3
43,17,6,19,23,29,19,19,4
44,31,2,7,15,19,15,15,4
45,16,5,24,25,27,25,25,0
46,25,10,20,25,30,30,30,0
47,0,0,1,9,21,1,1,0
48,26,1,2,29,31,29,1,0
49,29,5,13,16,23,5,5,0
50,22,0,11,14,19,0,0,0
51,3,2,6,11,13,13,6,3
52,19,4,6,7,16,4,4,1
53,19,14,15,21,27,21,14,0
54,23,9,25,27,29,27,27,0
55,16,0,7,15,20,7,7,4
56,22,6,13,17,26,6,26,0
57,21,1,16,18,20,16,16,0
58,1,5,7,13,22,13,13,0
59,31,1,16,19,28,16,28,4
60,11,1,2,13,24,1,1,0
61,26,1,6,9,18,9,1,3
62,8,14,16,29,31,14,14,0
63,7,9,10,26,29,29,26,0
64,13,0,3,4,25,4,4,0
65,27,0,1,10,28,10,10,0
66,26,1,13,16,21,1,1,0
67,27,1,3,8,9,1,1,3
68,16,13,15,22,26,13,13,0
69,5,4,8,15,25,4,15,0
70,28,2,10,17,19,10,10,0
71,11,1,23,24,31,23,1,0
72,31,2,5,17,21,5,5,0
73,31,2,15,19,31,15,15,0
74,11,8,11,17,28,17,17,0
75,0,7,19,20,30,7,7,0
76,18,7,11,29,31,7,7,0
77,24,3,6,27,30,30,3,0
78,3,9,10,13,15,13,13,0
79,19,10,22,24,26,26,26,0
80,12,3,8,28,30,30,30,0
81,19,9,14,15,26,26,26,0
82,26,4,17,20,23,20,4,0
83,22,1,2,17,29,29,29,0
84,17,6,16,23,27,6,27,0
85,24,2,10,15,29,10,10,0
86,10,1,7,16,23,16,16,1
87,15,27,29,30,31,29,29,0
88,18,18,22,25,29,18,22,0
89,24,5,7,12,29,7,7,0
90,23,5,16,21,30,5,5,0
91,19,13,15,20,25,20,15,0
92,18,2,12,17,24,24,24,0
93,14,4,13,15,16,13,13,4
94,27,10,16,18,27,10,10,0
95,15,2,9,16,30,16,16,0
96,20,1,7,14,15,14,14,0
97,3,5,9,13,15,13,13,0
98,15,15,17,23,29,23,17,0
99,14,1,6,9,28,28,6,0
100,21,7,21,22,27,21,21,1
101,16,3,8,22,30,22,22,0
102,1,1,10,23,31,10,10,0
103,13,6,11,18,30,30,30,0
104,7,1,14,18,31,14,14,0
105,11,11,19,21,30,21,21,1
106,16,20,22,27,31,22,22,0
107,31,5,18,24,29,5,24,0
108,17,0,4,6,10,6,10,4
109,3,1,10,16,31,10,10,0
110,18,14,16,18,22,22,18,0
111,1,8,19,21,25,8,8,0
112,17,0,3,12,23,3,3,2
113,0,2,3,14,28,3,14,0
114,12,8,20,21,28,21,21,0
115,8,1,5,8,27,5,8,0
116,17,1,15,20,25,25,25,0
117,10,15,18,23,28,23,15,0
118,27,3,11,15,17,17,17,0
119,16,2,14,26,28,14,14,0
120,15,6,11,13,25,6,6,0
121,24,3,4,22,25,3,25,0
122,25,6,11,17,25,6,6,3
123,12,9,21,25,29,21,21,0
124,15,9,17,27,30,17,17,0
125,31,9,23,24,29,29,24,4
126,28,10,14,22,30,10,10,0
127,17,9,14,22,29,22,22,0
128,15,5,19,30,31,5,5,0
129,28,3,9,12,31,9,9,3
130,30,8,10,17,22,17,17,0
131,2,4,6,15,16,4,4,1
132,5,0,4,10,18,4,4,4
133,5,7,13,26,28,26,26,0
134,5,1,4,9,24,4,4,0
135,30,9,16,20,26,9,16,3
136,29,10,16,22,28,16,16,1
137,12,19,25,27,30,30,30,1
138,20,5,13,20,23,13,13,4
139,6,2,17,26,27,27,27,0
140,26,1,11,25,31,1,1,3
141,11,10,19,20,28,20,20,1
142,11,6,10,18,28,6,6,1
143,11,8,22,27,29,29,29,0
144,11,17,18,25,26,17,17,0
145,22,10,13,16,22,16,16,1
146,24,23,25,26,29,25,25,0
147,13,1,12,14,24,1,1,0
148,13,10,23,25,30,10,30,0
149,3,10,15,27,29,29,10,0
150,0,13,15,18,20,13,13,0
151,11,1,7,14,28,1,1,1
152,25,0,19,22,26,0,0,0
153,26,3,14,22,31,22,22,3
154,30,0,11,27,28,0,0,3
155,1,1,5,8,27,8,8,0
156,1,5,10,18,28,28,28,0
157,4,7,16,17,29,7,7,0
158,23,0,4,10,22,4,4,1
159,6,2,8,14,20,8,8,0
160,26,3,9,22,31,22,22,0
161,19,1,18,24,26,1,1,0
162,28,10,11,17,19,10,10,3
163,4,9,11,19,25,19,19,0
164,12,3,15,17,26,15,17,0
165,25,7,13,14,30,30,30,0
166,2,5,6,12,29,29,5,0
167,5,9,18,19,24,19,19,0
168,30,13,16,23,28,23,16,0
169,12,3,5,8,13,5,5,0
170,15,8,11,12,31,12,12,3
171,17,6,12,17,23,6,6,0
172,31,13,18,25,29,29,13,4
173,23,6,22,24,25,6,6,0
174,7,6,22,27,29,29,29,1
175,26,1,8,21,25,1,1,3
176,3,14,16,22,27,22,22,0
177,2,8,13,17,24,17,17,0
178,10,14,21,28,29,29,29,0
179,23,3,4,6,27,4,4,1
180,11,3,9,14,22,9,9,1
181,12,0,7,13,21,21,21,1
182,22,11,13,25,29,29,29,0
183,18,12,19,26,31,19,19,0
184,29,1,7,26,27,1,26,1
185,4,5,7,19,22,7,7,0
186,31,7,9,17,31,17,7,4
187,30,3,11,18,23,23,23,3
188,24,8,9,25,31,25,8,0
189,23,12,21,25,29,29,29,0
190,4,9,13,17,24,13,13,0
191,12,5,6,8,27,5,5,0
192,13,0,8,10,29,0,0,0
193,1,3,11,12,20,3,11,0
194,7,0,6,14,27,6,14,0
195,0,13,19,25,28,13,13,0
196,21,1,6,18,28,1,1,0
197,9,1,2,21,23,21,21,0
198,0,16,18,20,25,25,25,0
199,13,3,25,26,29,29,29,0
200,17,0,11,12,20,11,11,0
201,9,1,11,15,24,1,1,3
202,21,4,23,27,31,4,4,0
203,11,7,8,11,17,17,17,0
204,13,4,14,19,27,14,4,1
205,2,0,3,27,31,31,31,0
206,13,1,13,21,24,1,1,3
207,9,1,15,19,30,30,15,0
208,29,12,17,23,30,30,30,0
209,26,0,12,13,18,13,13,2
210,6,1,2,9,17,1,1,0
211,29,8,15,29,30,29,29,0
212,1,6,9,10,11,10,11,0
213,10,4,11,28,31,4,4,0
214,7,4,5,6,30,4,5,0
215,9,1,9,23,26,26,9,0
216,0,1,15,22,26,22,22,0
217,23,1,15,17,29,15,15,0
218,16,0,7,9,25,7,7,4
219,27,6,11,13,31,6,6,0
220,24,0,6,13,31,13,13,4
221,13,0,1,4,10,4,4,1
222,22,20,22,27,29,29,29,0
223,6,0,17,19,22,19,19,2
224,11,5,24,26,31,26,26,0
225,2,5,15,27,30,15,5,0
226,25,0,9,11,22,0,0,3
227,23,5,9,12,31,5,5,0
228,13,6,10,12,23,10,23,0
229,1,3,13,20,31,13,13,4
230,15,1,5,20,30,5,5,0
231,5,12,14,18,21,14,14,0
232,20,21,23,25,29,25,25,0
233,18,1,10,26,29,10,10,0
234,6,3,5,10,14,10,10,0
235,4,1,14,17,22,22,22,0
236,19,2,18,20,28,20,20,0
237,16,6,8,19,28,19,19,0
238,3,4,7,17,28,4,28,0
239,26,4,7,20,26,4,4,0
240,21,0,14,15,19,15,15,0
241,25,0,2,6,26,6,0,3
242,24,1,12,16,22,22,22,0
243,10,12,14,18,21,21,21,0
244,3,19,24,28,31,19,19,0
245,9,17,20,28,29,29,29,3
246,22,2,22,26,31,26,26,0
247,6,1,4,9,19,19,19,0
