,table1,table2,sum_table,rank1,rank2,rank_sum12
0,0.01268862776034111,0.0024981515682502165,0.015186779328591327,5.0,0.0,2.0
1,0.012735245436977188,0.055378444385985985,0.06811368982296317,6.0,28.0,20.0
2,0.056848300432895085,0.049829742794055394,0.10667804322695049,30.0,24.0,29.0
3,0.004245029084535937,0.009974141222661529,0.014219170307197465,2.0,4.0,1.0
4,0.05649795924158356,0.02928743919829973,0.08578539843988328,29.0,16.0,25.0
5,0.04567857755808824,0.020264020451844073,0.06594259800993231,23.0,7.0,17.0
6,0.03448763007754349,0.03215279128116184,0.06664042135870532,17.0,17.0,19.0
7,0.03319358109979795,0.0328707324227709,0.06606431352256885,16.0,19.0,18.0
8,0.003850430677055255,0.03500438534153294,0.038854816018588194,1.0,20.0,5.0
9,0.035874119418602975,0.026970372775993,0.06284449219459598,18.0,15.0,15.0
10,0.03943857139991149,0.019045529838786816,0.05848410123869831,19.0,6.0,14.0
11,0.020316611319248536,0.022019580874393457,0.04233619219364199,10.0,9.0,8.0
12,0.05379794202169024,0.009857917163459661,0.0636558591851499,26.0,3.0,16.0
13,0.05152096445501608,0.042488116097127035,0.09400908055214312,25.0,23.0,26.0
14,0.015239627127133799,0.02135893596251301,0.036598563089646804,7.0,8.0,4.0
15,0.004575096135659812,0.022695156754497677,0.02727025289015749,3.0,11.0,3.0
16,0.05923617544426575,0.05013385456708056,0.10937003001134632,31.0,25.0,31.0
17,0.02164574271124355,0.05267785194275857,0.07432359465400212,11.0,27.0,21.0
18,0.02489629107302226,0.015768672114512914,0.04066496318753517,13.0,5.0,6.0
19,0.0023917254862789194,0.039300974665644306,0.04169270015192322,0.0,22.0,7.0
20,0.039771511784072726,0.06158115023854677,0.1013526620226195,20.0,31.0,27.0
21,0.04565301286872326,0.03865995906995092,0.08431297193867418,22.0,21.0,24.0
22,0.021647803950866462,0.03242214825926151,0.054069952210127975,12.0,18.0,12.0
23,0.01901873364188836,0.0263184640386902,0.04533719768057856,8.0,14.0,10.0
24,0.026410479239069078,0.05701508691388661,0.08342556615295568,14.0,29.0,23.0
25,0.019751591596416606,0.02476429956653068,0.04451589116294728,9.0,13.0,9.0
26,0.050031795195804245,0.008322567358905186,0.05835436255470943,24.0,2.0,13.0
27,0.04476113215589379,0.05900340880679447,0.10376454096268826,21.0,30.0,28.0
28,0.004986850245977384,0.0057864242165798834,0.010773274462557268,4.0,1.0,0.0
29,0.055213366025925616,0.02362466304766032,0.07883802907358593,27.0,12.0,22.0
30,0.05622397390946563,0.05058570152674756,0.1068096754362132,28.0,26.0,30.0
31,0.02737150142500566,0.022339315533116022,0.049710816958121684,15.0,10.0,11.0
